product_id,product_name,category,sub_category,cost_price,list_price,supplier_name
PRD-00178,Nimbus Bicycles All-Terrain 523,Sports & Outdoors,Bicycles,311.4,583.55,Nimbus Egypt Distribution
PRD-00135,Vantix Snacks Classic 824,Groceries,Snacks,39.07,55.83,Vantix Egypt Distribution
PRD-00079,Solara Shoes Slim Fit 373,Fashion,Shoes,306.06,EGP 646.3,Solara Egypt Distribution
PRD-00065,Kaelo Men's Clothing Signature 926,Fashion,Men's Clothing,1008.65,1220.64,Kaelo Egypt Distribution
PRD-00121,Orbex Fragrances Gentle 366,Beauty & Personal Care,Fragrances,208.18,307.1,Orbex Egypt Distribution
PRD-00056,Nimbus Bedding Deluxe 971,Home & Kitchen,Bedding,638.89,1260.88,Nimbus Egypt Distribution
PRD-00127,Lumora Personal Hygiene Pure 816,Beauty & Personal Care,Personal Hygiene,150.43,252.66,Lumora Egypt Distribution
PRD-00165,Drexel Fitness Equipment Pro 803,Sports & Outdoors,Fitness Equipment,EGP 1010.35,1559.9,Drexel Egypt Distribution
PRD-00083,Kaelo Bags Premium 756,Fashion,Bags,803.36,1673.7,Kaelo Egypt Distribution
PRD-00138,Vantix Snacks Premium 950,Groceries,Snacks,187.58,293.11,Vantix Egypt Distribution
PRD-00114,Verve Makeup Gentle 977,Beauty & Personal Care,Makeup,443.91,864.91,Verve Egypt Distribution
PRD-00030,Orbex Cookware Modern 897,Home & Kitchen,Cookware,2775.06,6643.61,Orbex Egypt Distribution
PRD-00006,Orbex Laptops Ultra 532,Electronics,Laptops,2919.93,4094.1,Orbex Egypt Distribution
PRD-00118,Solara Fragrances Nourishing 960,Beauty & Personal Care,Fragrances,249.67,341.03,Solara Egypt Distribution
PRD-00115,Drexel Makeup Gentle 460,Beauty & Personal Care,Makeup,170.35,290.78,Drexel Egypt Distribution
PRD-00117,Lumora Fragrances Radiant 546,Beauty & Personal Care,Fragrances,258.25,440.45,Lumora Egypt Distribution
PRD-00130,Solara Beverages Classic 832,Groceries,Beverages,,93.92,Solara Egypt Distribution
PRD-00172,Kaelo Sportswear Performance 141,Sports & Outdoors,Sportswear,,4391.94,Kaelo Egypt Distribution
PRD-00171,Verve Outdoor Gear Elite 126,SPORTS & OUTDOORS,Outdoor Gear,EGP 456.17,1117.84,Verve Egypt Distribution
PRD-00090,Vantix Accessories Signature 421, Fashion ,Accessories,1022.01,1391.99,Vantix Egypt Distribution
PRD-00073,Nexis Women's Clothing Classic 807,Fashion,Women's Clothing,1363.58,2603.44,Nexis Egypt Distribution
PRD-00059,Verve Bedding Modern 635,Home & Kitchen,Bedding,1017.47,1565.88,Verve Egypt Distribution
PRD-00019,Drexel Cameras Plus 758,Electronics,Cameras,3833.16,5919.72,Drexel Egypt Distribution
PRD-00120,Zenvo Fragrances Gentle 758,Beauty & Personal Care,Fragrances,231.45,538.56,Zenvo Egypt Distribution
PRD-00091,Kaelo Accessories Signature 416,Fashion,Accessories,1026.99,1667.87,Kaelo Egypt Distribution
PRD-00112,Lumora Makeup Gentle 524,Beauty & Personal Care,Makeup,221.57,422.18,Lumora Egypt Distribution
PRD-00122,Vantix Fragrances Radiant 879,Beauty & Personal Care,Fragrances,443.43,692.52,Vantix Egypt Distribution
PRD-00077,Verve Shoes Slim Fit 342,Fashion,Shoes,1307.74,3228.9,Verve Egypt Distribution
PRD-00105,Nexis Haircare Pure 236,Beauty & Personal Care,Haircare,406.67,840.93,Nexis Egypt Distribution
PRD-00009,Nimbus Laptops Pro 487,Electronics,Laptops,906.76,1433.71,Nimbus Egypt Distribution
PRD-00057,Lumora Bedding Essential 222,Home & Kitchen,Bedding,2830.63,5493.06,Lumora Egypt Distribution
PRD-00016,Nimbus Audio Max 801,Electronics,Audio,2796.98,6150.02,Nimbus Egypt Distribution
PRD-00002,Nexis Mobile Phones Ultra 858,Electronics,Mobile Phones,,9414.07,Nexis Egypt Distribution
PRD-00104,Nimbus Haircare Pure 151,Beauty & Personal Care,Haircare,291.98,698.62,Nimbus Egypt Distribution
PRD-00086,Vantix Bags Premium 546,Fashion,Bags,940.82,1754.49,Vantix Egypt Distribution
PRD-00169,Kaelo Outdoor Gear All-Terrain 378,Sports & Outdoors,Outdoor Gear,2051.84,3779.35,Kaelo Egypt Distribution
PRD-00166,Solara Outdoor Gear Pro 657,Sports & Outdoors,Outdoor Gear,976.76,1361.3,Solara Egypt Distribution
PRD-00134,Vantix Beverages Organic 969,Groceries,Beverages,89.81,165.0,Vantix Egypt Distribution
PRD-00058,Verve Bedding Modern 140,Home & Kitchen,Bedding,1896.21,3308.87,Verve Egypt Distribution
PRD-00107,Verve Haircare Advanced 536,Beauty & Personal Care,Haircare,420.37,803.85,Verve Egypt Distribution
PRD-00071,Zenvo Women's Clothing Premium 889,Fashion,Women's Clothing,265.76,657.42,Zenvo Egypt Distribution
PRD-00050,Drexel Appliances Essential 318,Home & Kitchen,Appliances,2607.49,6188.03,Drexel Egypt Distribution
PRD-00035,Kaelo Furniture Modern 993,Home & Kitchen,Furniture,1859.12,4561.67,Kaelo Egypt Distribution
PRD-00088,Nimbus Accessories Signature 803,Fashion,Accessories,EGP 1101.59,2384.43,Nimbus Egypt Distribution
PRD-00055,Drexel Bedding Modern 973,Home & Kitchen,Bedding,EGP 1640.27,2089.61,Drexel Egypt Distribution
PRD-00140,Solara Snacks Family Pack 129,Groceries,Snacks,103.92,168.61,Solara Egypt Distribution
PRD-00069,Kaelo Women's Clothing Signature 600,Fashion,Women's Clothing,436.59,1039.35,Kaelo Egypt Distribution
PRD-00032,Kaelo Cookware Classic 159,Home & Kitchen,Cookware,798.53,1547.2,Kaelo Egypt Distribution
PRD-00068,Verve Women's Clothing Slim Fit 834,Fashion,Women's Clothing,566.89,1186.92,Verve Egypt Distribution
PRD-00143,Lumora Pantry Staples Classic 600, Groceries ,Pantry Staples,EGP 115.48,174.65,Lumora Egypt Distribution
PRD-00185,Solara Team Sports All-Terrain 583,Sports & Outdoors,Team Sports,,2013.53,Solara Egypt Distribution
PRD-00116,Nimbus Fragrances Advanced 919,Beauty & Personal Care,Fragrances,313.53,466.13,Nimbus Egypt Distribution
PRD-00174,Drexel Sportswear Pro 581,Sports & Outdoors,Sportswear,1457.05,2379.8,Drexel Egypt Distribution
PRD-00142,Verve Snacks Family Pack 669,Groceries,Snacks,11.93,29.02,Verve Egypt Distribution
PRD-00160,Drexel Frozen Foods Family Pack 980,Groceries,Frozen Foods,121.82,214.1,Drexel Egypt Distribution
PRD-00136,Nimbus Snacks Family Pack 730,Groceries,Snacks,163.56,310.7,Nimbus Egypt Distribution
PRD-00008,Vantix Laptops Elite 370,Electronics,Laptops,6514.89,13998.23,Vantix Egypt Distribution
PRD-00046,Nexis Home Decor Classic 296,Home & Kitchen,Home Decor,651.61,1161.95,Nexis Egypt Distribution
PRD-00098,Vantix Skincare Gentle 938,Beauty & Personal Care,Skincare,EGP 477.44,718.7,Vantix Egypt Distribution
PRD-00014,Nexis Audio Elite 750,Electronics,Audio,EGP 1617.77,3474.75,Nexis Egypt Distribution
PRD-00170,Nexis Outdoor Gear Performance 140,Sports & Outdoors,Outdoor Gear,3568.75,7690.28,Nexis Egypt Distribution
PRD-00022,Nimbus Accessories Plus 193,Electronics,Accessories,6119.52,14193.82,Nimbus Egypt Distribution
PRD-00005,Nimbus Mobile Phones Plus 325,Electronics,Mobile Phones,EGP 3758.91,5870.09,Nimbus Egypt Distribution
PRD-00004,Verve Mobile Phones Pro 674,electronics,Mobile Phones,1831.05,3744.22,Verve Egypt Distribution
PRD-00017,Lumora Cameras Pro 924,Electronics,Cameras,2728.99,4224.65,Lumora Egypt Distribution
PRD-00151,Lumora Dairy Family Pack 332,Groceries,Dairy,78.57,125.16,Lumora Egypt Distribution
PRD-00021,Solara Cameras Elite 508,Electronics,Cameras,3087.37,7707.69,Solara Egypt Distribution
PRD-00141,Drexel Snacks Premium 463,Groceries,Snacks,161.59,265.4,Drexel Egypt Distribution
PRD-00040,Nexis Furniture Deluxe 980,Home & Kitchen,Furniture,1058.24,1977.22,Nexis Egypt Distribution
PRD-00028,Nimbus Cookware Classic 619,Home & Kitchen,Cookware,2746.62,6404.22,Nimbus Egypt Distribution
PRD-00081,Drexel Shoes Premium 412,Fashion,Shoes,1245.16,2904.61,Drexel Egypt Distribution
PRD-00095,Verve Skincare Radiant 576,Beauty & Personal Care,Skincare,237.64,493.89,Verve Egypt Distribution
PRD-00067,Kaelo Men's Clothing Classic 209,Fashion,Men's Clothing,1134.23,1590.28,Kaelo Egypt Distribution
PRD-00183,Nexis Bicycles Endurance 961,Sports & Outdoors,Bicycles,3660.43,6588.34,Nexis Egypt Distribution
PRD-00157,Orbex Frozen Foods Premium 930,Groceries,Frozen Foods,116.94,186.52,Orbex Egypt Distribution
PRD-00153,Kaelo Dairy Premium 753,Groceries,Dairy,175.01,321.69,Kaelo Egypt Distribution
PRD-00037,Vantix Furniture Essential 629,Home & Kitchen,Furniture,1409.31,2145.36,Vantix Egypt Distribution
PRD-00168,Verve Outdoor Gear Performance 395,Sports & Outdoors,Outdoor Gear,1812.7,3279.73,Verve Egypt Distribution
PRD-00124,Vantix Personal Hygiene Nourishing 765,Beauty & Personal Care,Personal Hygiene,62.25,152.17,Vantix Egypt Distribution
PRD-00080,Solara Shoes Classic 979,Fashion,Shoes,748.38,1092.22,Solara Egypt Distribution
PRD-00099,Kaelo Skincare Nourishing 925,Beauty & Personal Care,Skincare,123.59,152.23,Kaelo Egypt Distribution
PRD-00129,Kaelo Beverages Organic 692,Groceries,Beverages,14.88,23.89,Kaelo Egypt Distribution
PRD-00048,Drexel Appliances Modern 200,Home & Kitchen,Appliances,246.71,616.54,Drexel Egypt Distribution
PRD-00038,Nexis Furniture Premium 121,Home & Kitchen,Furniture,1806.1,2707.61,Nexis Egypt Distribution
PRD-00064,Vantix Men's Clothing Premium 261,Fashion,Men's Clothing,702.22,EGP 1338.56,Vantix Egypt Distribution
PRD-00041,Drexel Home Decor Classic 652,Home & Kitchen,Home Decor,483.7,EGP 1168.7,Drexel Egypt Distribution
PRD-00093,Orbex Skincare Advanced 682,Beauty & Personal Care,Skincare,EGP 171.45,327.87,Orbex Egypt Distribution
PRD-00149,Nimbus Dairy Premium 296,Groceries,Dairy,51.11,93.5,Nimbus Egypt Distribution
PRD-00097,Orbex Skincare Gentle 390,Beauty & Personal Care,Skincare,272.26,550.73,Orbex Egypt Distribution
PRD-00070,Zenvo Women's Clothing Classic 749,Fashion,Women's Clothing,681.48,1062.89,Zenvo Egypt Distribution
PRD-00152,Nimbus Dairy Premium 380,Groceries,Dairy,18.65,23.7,Nimbus Egypt Distribution
PRD-00145,Lumora Pantry Staples Classic 808,Groceries,Pantry Staples,56.23,116.01,Lumora Egypt Distribution
PRD-00175,Nexis Sportswear Endurance 437,Sports & Outdoors,Sportswear,1705.42,3144.98,Nexis Egypt Distribution
PRD-00133,Vantix Beverages Fresh 538,Groceries,Beverages,135.69,174.99,Vantix Egypt Distribution
PRD-00034,Nimbus Cookware Classic 231,Home & Kitchen,Cookware,2013.28,4894.09,Nimbus Egypt Distribution
PRD-00158,Lumora Frozen Foods Organic 671,Groceries,Frozen Foods,155.24,308.65,Lumora Egypt Distribution
PRD-00100,Lumora Skincare Pure 725,Beauty & Personal Care,Skincare,EGP 429.38,555.91,Lumora Egypt Distribution
PRD-00001,Zenvo Mobile Phones Ultra 381,Electronics,Mobile Phones,2185.67,3019.28,Zenvo Egypt Distribution
PRD-00049,Zenvo Appliances Deluxe 871,Home & Kitchen,Appliances,2561.22,3627.21,Zenvo Egypt Distribution
PRD-00176,Solara Sportswear Performance 137,Sports & Outdoors,Sportswear,1873.82,3014.74,Solara Egypt Distribution
PRD-00060,Vantix Bedding Classic 371,Home & Kitchen,Bedding,EGP 1247.78,2586.89,Vantix Egypt Distribution
PRD-00018,Lumora Cameras Elite 997,Electronics,Cameras,5827.94,8604.46,Lumora Egypt Distribution
PRD-00173,Nimbus Sportswear All-Terrain 384,Sports & Outdoors,Sportswear,807.81,1584.06,Nimbus Egypt Distribution
PRD-00094,Zenvo Skincare Radiant 393,BEAUTY & PERSONAL CARE,Skincare,128.79,286.11,Zenvo Egypt Distribution
PRD-00096,Nimbus Skincare Pure 912,Beauty & Personal Care,Skincare,453.55,1013.61,Nimbus Egypt Distribution
PRD-00027,Vantix Accessories Pro 400,Electronics,Accessories,3647.69,6528.78,Vantix Egypt Distribution
PRD-00108,Orbex Haircare Pure 560,Beauty & Personal Care,Haircare,EGP 151.82,230.98,Orbex Egypt Distribution
PRD-00025,Kaelo Accessories Elite 981,Electronics,Accessories,7556.72,EGP 15750.99,Kaelo Egypt Distribution
PRD-00110,Kaelo Makeup Nourishing 378,Beauty & Personal Care,Makeup,187.85,443.5,Kaelo Egypt Distribution
PRD-00187,Nexis Team Sports Elite 891,Sports & Outdoors,Team Sports,3181.02,EGP 5533.15,Nexis Egypt Distribution
PRD-00033,Nexis Cookware Deluxe 849,Home & Kitchen,Cookware,1509.37,1947.05,Nexis Egypt Distribution
PRD-00184,Orbex Team Sports All-Terrain 833,Sports & Outdoors,Team Sports,1238.26,EGP 2621.44,Orbex Egypt Distribution
PRD-00089,Lumora Accessories Premium 541,Fashion,Accessories,EGP 179.36,370.11,Lumora Egypt Distribution
PRD-00155,Zenvo Frozen Foods Family Pack 982,Groceries,Frozen Foods,100.77,228.62,Zenvo Egypt Distribution
PRD-00013,Vantix Audio Max 786,Electronics,Audio,EGP 2355.73,5695.33,Vantix Egypt Distribution
PRD-00159,Verve Frozen Foods Premium 894,Groceries,Frozen Foods,109.29,195.16,Verve Egypt Distribution
PRD-00188,Nimbus Team Sports Elite 940,Sports & Outdoors,Team Sports,110.0,235.83,Nimbus Egypt Distribution
PRD-00163,Zenvo Fitness Equipment All-Terrain 561,Sports & Outdoors,Fitness Equipment,2788.55,5049.75,Zenvo Egypt Distribution
PRD-00109,Nimbus Makeup Pure 741,Beauty & Personal Care,Makeup,142.45,252.4,Nimbus Egypt Distribution
PRD-00036,Nimbus Furniture Classic 830,Home & Kitchen,Furniture,1003.98,2503.62,Nimbus Egypt Distribution
PRD-00128,Verve Personal Hygiene Advanced 865,Beauty & Personal Care,Personal Hygiene,367.63,812.88,Verve Egypt Distribution
PRD-00061,Drexel Men's Clothing Premium 869,Fashion,Men's Clothing,1408.74,1707.55,Drexel Egypt Distribution
PRD-00020,Lumora Cameras Ultra 674,Electronics,Cameras,EGP 4450.13,9661.76,Lumora Egypt Distribution
PRD-00062,Verve Men's Clothing Signature 202,Fashion,Men's Clothing,EGP 184.03,271.83,Verve Egypt Distribution
PRD-00082,Zenvo Bags Slim Fit 508,Fashion,Bags,546.13,1269.02,Zenvo Egypt Distribution
PRD-00026,Nexis Accessories Ultra 649, Electronics ,Accessories,6081.76,13374.87,Nexis Egypt Distribution
PRD-00044,Solara Home Decor Essential 578,Home & Kitchen,Home Decor,2605.13,3309.62,Solara Egypt Distribution
PRD-00051,Orbex Appliances Essential 102,Home & Kitchen,Appliances,2957.4,4568.48,Orbex Egypt Distribution
PRD-00137,Drexel Snacks Classic 546,Groceries,Snacks,166.89,328.81,Drexel Egypt Distribution
PRD-00031,Verve Cookware Premium 600,Home & Kitchen,Cookware,156.48,376.78,Verve Egypt Distribution
PRD-00119,Verve Fragrances Advanced 127,Beauty & Personal Care,Fragrances,456.26,898.59,Verve Egypt Distribution
PRD-00177,Nexis Bicycles All-Terrain 985,Sports & Outdoors,Bicycles,2106.93,5234.78,Nexis Egypt Distribution
PRD-00010,Verve Laptops Lite 691,Electronics,Laptops,1780.62,2297.75,Verve Egypt Distribution
PRD-00147,Nimbus Pantry Staples Family Pack 460,Groceries,Pantry Staples,143.54,222.8,Nimbus Egypt Distribution
PRD-00085,Orbex Bags Signature 371,Fashion,Bags,EGP 134.33,265.37,Orbex Egypt Distribution
PRD-00007,Vantix Laptops Pro 194, Electronics ,Laptops,3225.44,5375.75,Vantix Egypt Distribution
PRD-00186,Solara Team Sports Endurance 713,Sports & Outdoors,Team Sports,2082.14,4878.71,Solara Egypt Distribution
PRD-00132,Verve Beverages Organic 915,Groceries,Beverages,196.93,436.68,Verve Egypt Distribution
PRD-00106,Nimbus Haircare Advanced 424,Beauty & Personal Care,Haircare,476.52,1124.04,Nimbus Egypt Distribution
PRD-00131,Lumora Beverages Organic 813,Groceries,Beverages,156.77,361.41,Lumora Egypt Distribution
PRD-00150,Verve Dairy Fresh 711,Groceries,Dairy,63.77,84.86,Verve Egypt Distribution
PRD-00179,Verve Bicycles All-Terrain 740,Sports & Outdoors,Bicycles,1823.96,2311.13,Verve Egypt Distribution
PRD-00074,Vantix Women's Clothing Signature 665,Fashion,Women's Clothing,290.29,396.44,Vantix Egypt Distribution
PRD-00182,Lumora Bicycles Endurance 418,Sports & Outdoors,Bicycles,2248.27,EGP 4312.02,Lumora Egypt Distribution
PRD-00024,Nexis Accessories Plus 490,Electronics,Accessories,4888.34,8840.39,Nexis Egypt Distribution
PRD-00003,Solara Mobile Phones Pro 130,Electronics,Mobile Phones,1021.45,1534.69,Solara Egypt Distribution
PRD-00039,Lumora Furniture Deluxe 172,Home & Kitchen,Furniture,EGP 2152.74,2748.05,Lumora Egypt Distribution
PRD-00072,Orbex Women's Clothing Casual 664,Fashion,Women's Clothing,1082.05,2087.47,Orbex Egypt Distribution
PRD-00066,Nimbus Men's Clothing Premium 779,Fashion,Men's Clothing,227.09,531.75,Nimbus Egypt Distribution
PRD-00092,Kaelo Accessories Signature 230,Fashion,Accessories,352.41,727.52,Kaelo Egypt Distribution
PRD-00181,Drexel Bicycles Pro 129,Sports & Outdoors,Bicycles,3895.27,7757.56,Drexel Egypt Distribution
PRD-00043,Solara Home Decor Classic 196,Home & Kitchen,Home Decor,381.1,670.88,Solara Egypt Distribution
